Metals & Alloys,Unit,Quantity 2014-15,Value 2014-15 (Value in Thousand Rupees),Quantity 2015-16 (Provisional),Value 2015-16 (Value in Thousand Rupees),Quantity 2016-17 (Provisional),Value 2016-17 (Value in Thousand Rupees),Note of Quantity 2014-15,Note of Value 2014-15 (Value in Thousand Rupees),Note of Quantity 2015-16 (Provisional),Note of Value 2015-16 (Value in Thousand Rupees),Note of Quantity 2016-17 (Provisional),Note of Value 2016-17 (Value in Thousand Rupees)
All Metals & Alloys,NA,NA,1672956951,NA,1529126095,NA,1820050274,NA,NA,NA,NA,NA,NA
Aluminium And Alloys Incl. Scrap,Tonne,1034006,173771032,1153445,171195447,1551652,216906773,NA,NA,NA,NA,NA,NA
Antimony Alloys And Scrap,Tonne,2371,1209763,2034,840904,1668,750061,NA,NA,NA,NA,NA,NA
Bismuth & Scrap,Tonne,NA,2331,2,2751,NA,68,Negligible,NA,NA,NA,Negligible,NA
Boron,Tonne,NA,119,NA,21,1,14,Negligible,NA,Negligible,NA,NA,NA
Cadmium (Incl. Waste & Scrap),Tonne,74,4545,115,9373,238,19894,NA,NA,NA,NA,NA,NA
Chromium & Alloys,Tonne,94,72047,58,50866,80,63279,NA,NA,NA,NA,NA,NA
Cobalt & Alloys(Incl Waste And Scrap),Tonne,109,124799,80,63277,37,56844,NA,NA,NA,NA,NA,NA
Copper & Alloys (Incl. Brass & Bronze),Tonne,462183,205730340,415782,161726798,452667,176672115,NA,NA,NA,NA,NA,NA
Copper (Cement Copper Precipitated),Tonne,NA,41,13,7520,NA,NA,Negligible,NA,NA,NA,Nil,Nil
Ferro Alloys : Total,Tonne,2169453,99837096,1350224,72257859,1547351,101702239,NA,NA,NA,NA,NA,NA
Gold (Non-Monetory & Monetory):Total,Kg,70796,174423808,135275,325665937,130041,353650441,NA,NA,NA,NA,NA,NA
Gold-Clad Metals/Base Metales Nes,Tonne,NA,2,NA,NA,NA,136,Negligible,NA,Nil,Nil,Negligible,NA
Iron & Steel : Total,Tonne,12077670,868623121,9122896,677365320,15578394,864116461,NA,NA,NA,NA,NA,NA
Lead And Alloys Incl. Scrap,Tonne,76289,10617034,89389,11883144,108567,15947926,NA,NA,NA,NA,NA,NA
Magnesium & Scrap,Tonne,66,30471,169,36842,115,14079,NA,NA,NA,NA,NA,NA
Manganese & Alloys (Incl Waste & Scrap),Tonne,134,111364,190,150383,278,178616,NA,NA,NA,NA,NA,NA
Mercury,Tonne,8,37675,63,46788,49,113379,NA,NA,NA,NA,NA,NA
Molybdenum & Scrap,Tonne,55,188842,12,152054,12,145020,NA,NA,NA,NA,NA,NA
Nickel And Alloys Incl. Scrap,Tonne,46771,55174050,37512,32072432,8709,6119267,NA,NA,NA,NA,NA,NA
Other Rare Metals Nes,Tonne,NA,4203,NA,633,1,3136,Negligible,NA,Negligible,NA,NA,NA
Pig & Cost Iron (Incl.  Speigeliesen),Tonne,650353,15064847,328278,6041511,778371,11045650,NA,NA,NA,NA,NA,NA
Platinium  Alloys  & Related Metals,Kg,78,83710,36,21310,344,404010,NA,NA,NA,NA,NA,NA
Platinium - Clad Base /Precious Metal,Kg,11,625,10,86,5,413,NA,NA,NA,NA,NA,NA
Preciuos Metals / Metals Clad With Preciuos Metals,Tonne,581,25052694,1980,29307616,3314,27813971,NA,NA,NA,NA,NA,NA
Selenium,Tonne,124,350157,85,97481,203,257267,NA,NA,NA,NA,NA,NA
Silicon,Tonne,260,34175,36,9426,43,7114,NA,NA,NA,NA,NA,NA
Silver,Tonne,5,346251,24,481460,28,756817,NA,NA,NA,NA,NA,NA
Silver Clad Base Metals,Kg,22375,264220,291,2514,4049,11141,NA,NA,NA,NA,NA,NA
Tantalum  & Scrap,Tonne,5,93874,2,42584,4,62506,NA,NA,NA,NA,NA,NA
Tellurium,Tonne,NA,93,NA,113,1,59,Negligible,NA,Negligible,NA,NA,NA
Tin And Alloys Incl. Scrap,Tonne,2217,2372272,4199,3829840,1275,724626,NA,NA,NA,NA,NA,NA
Titanium & Alloys(Incl. Waste & Scrap),Tonne,174,197302,171,195613,114,202587,NA,NA,NA,NA,NA,NA
Tungsten And Alloys Incl. Scrap,Kg,475385,1574148,313688,1196642,373207,1203053,NA,NA,NA,NA,NA,NA
Zinc And Alloys Incl. Scrap,Tonne,246395,37553145,257634,34345671,228618,41094651,NA,NA,NA,NA,NA,NA
Zirconium & Scrap,Tonne,8,6755,236,25879,11,6661,NA,NA,NA,NA,NA,NA
